report_id,date,quality_ground_truth,requires_clarification,language,products_reported,product_names,ambiguous_products,true_units_used,true_closing_stock
SR000112,2025-12-21,messy,False,en,P006 | P001 | P007 | P003,Maccabee | Carlsberg | Stella Artois | Corona,,P006=3.0 | P001=11.0 | P007=6.0 | P003=2.0,P006=30.0 | P001=62.4 | P007=40.4 | P003=54.2
SR000113,2025-12-22,good,False,en,P014 | P005 | P003 | P004,Absolut | Goldstar | Corona | Guinness,,P014=1.2 | P005=3.0 | P003=2.0 | P004=3.0,P014=11.6 | P005=52.6 | P003=52.2 | P004=23.6
SR000114,2025-12-23,good,False,en,P002 | P003 | P001,Heineken | Corona | Carlsberg,,P002=6.0 | P003=3.0 | P001=3.0,P002=39.6 | P003=49.2 | P001=53.4
SR000115,2025-12-24,good,False,en,P006 | P039 | P002,Maccabee | House White Wine | Heineken,,P006=2.0 | P039=1.5 | P002=6.0,P006=48.0 | P039=19.1 | P002=57.6
SR000116,2025-12-25,good,False,en,P041 | P006 | P004,Prosecco | Maccabee | Guinness,,P041=3.6 | P006=6.0 | P004=3.0,P041=25.8 | P006=42.0 | P004=39.6
SR000117,2025-12-26,good,False,en,P002 | P001 | P005 | P039,Heineken | Carlsberg | Goldstar | House White Wine,,P002=11.0 | P001=19.0 | P005=14.0 | P039=3.7,P002=40.6 | P001=43.4 | P005=46.6 | P039=24.8
SR000118,2025-12-27,good,False,he,P003 | P041 | K003,Corona | Prosecco | Carlsberg 30L,,P003=9.0 | P041=3.7 | K003=0.9,P003=66.2 | P041=13.9 | K003=6.2
SR000119,2025-12-28,messy,False,en,P002 | P006 | P008 | P003 | P014,Heineken | Maccabee | Erdinger | Corona | Absolut,,P002=4.0 | P006=5.0 | P008=3.0 | P003=7.0 | P014=1.1,P002=49.6 | P006=48.0 | P008=48.2 | P003=59.2 | P014=16.8
SR000120,2025-12-29,good,False,he,P005 | P025 | P001 | P004,Goldstar | Bacardi Carta Blanca | Carlsberg | Guinness,,P005=3.0 | P025=1.8 | P001=9.0 | P004=1.0,P005=54.6 | P025=8.0 | P001=62.4 | P004=25.6
SR000121,2025-12-30,messy,False,he,P003 | P002 | P001 | P038,Corona | Heineken | Carlsberg | House Red Wine,,P003=3.0 | P002=6.0 | P001=6.0 | P038=1.0,P003=56.2 | P002=37.6 | P001=56.4 | P038=21.7
SR000122,2025-12-31,messy,False,he,K003 | P007 | P004 | P031,Carlsberg 30L | Stella Artois | Guinness | Patron Silver,,K003=0.8 | P007=6.0 | P004=6.0 | P031=1.3,K003=5.8 | P007=39.4 | P004=41.6 | P031=17.6
SR000123,2026-01-01,messy,False,he,P001 | P025 | P041 | P002,Carlsberg | Bacardi Carta Blanca | Prosecco | Heineken,,P001=12.0 | P025=1.6 | P041=3.7 | P002=10.0,P001=58.4 | P025=15.4 | P041=28.0 | P002=45.6
SR000124,2026-01-02,good,False,he,P005 | P001 | P002 | P031,Goldstar | Carlsberg | Heineken | Patron Silver,,P005=11.0 | P001=11.0 | P002=14.0 | P031=1.5,P005=46.6 | P001=47.4 | P002=31.6 | P031=14.8
SR000125,2026-01-03,good,False,en,P004 | P002 | P038 | P001,Guinness | Heineken | House Red Wine | Carlsberg,,P004=5.0 | P002=10.0 | P038=2.9 | P001=11.0,P004=27.6 | P002=69.6 | P038=12.4 | P001=60.4
SR000126,2026-01-04,messy,False,en,P005 | P006 | P008 | P002 | P001,Goldstar | Maccabee | Erdinger | Heineken | Carlsberg,,P005=3.0 | P006=3.0 | P008=1.0 | P002=4.0 | P001=6.0,P005=62.6 | P006=44.0 | P008=34.2 | P002=65.6 | P001=54.4
SR000127,2026-01-05,messy,False,en,P025 | P007 | P041 | P002 | P013,Bacardi Carta Blanca | Stella Artois | Prosecco | Heineken | Gordon's,,P025=1.1 | P007=4.0 | P041=1.7 | P002=7.0 | P013=1.1,P025=7.9 | P007=41.4 | P041=16.4 | P002=58.6 | P013=14.6
SR000128,2026-01-06,good,False,he,P033 | P007 | P041 | P001 | P005,Aperol | Stella Artois | Prosecco | Carlsberg | Goldstar,,P033=1.1 | P007=3.0 | P041=1.7 | P001=5.0 | P005=4.0,P033=16.7 | P007=38.4 | P041=26.7 | P001=46.4 | P005=54.6
SR000129,2026-01-07,good,False,en,P001 | P004 | P002 | P005,Carlsberg | Guinness | Heineken | Goldstar,,P001=7.0 | P004=3.0 | P002=5.0 | P005=4.0,P001=63.4 | P004=40.6 | P002=53.6 | P005=74.6
SR000130,2026-01-08,messy,False,he,P003 | P001 | P002,Corona | Carlsberg | Heineken,,P003=9.0 | P001=11.0 | P002=6.0,P003=50.2 | P001=52.4 | P002=47.6
SR000131,2026-01-09,good,False,en,P019 | P007 | P003 | P006,Jameson | Stella Artois | Corona | Maccabee,,P019=0.9 | P007=5.0 | P003=11.0 | P006=6.0,P019=7.0 | P007=48.4 | P003=39.2 | P006=30.0
SR000132,2026-01-10,good,False,en,P005 | P033 | P006,Goldstar | Aperol | Maccabee,,P005=10.0 | P033=2.7 | P006=5.0,P005=48.6 | P033=20.0 | P006=49.0
SR000133,2026-01-11,good,False,he,P031 | P005 | P004 | P003,Patron Silver | Goldstar | Guinness | Corona,,P031=0.8 | P005=6.0 | P004=2.0 | P003=5.0,P031=6.1 | P005=42.6 | P004=25.6 | P003=48.2
SR000134,2026-01-12,good,False,en,P004 | P013 | P003,Guinness | Gordon's | Corona,,P004=2.0 | P013=0.8 | P003=7.0,P004=23.6 | P013=18.0 | P003=41.2
SR000135,2026-01-13,good,False,en,P038 | P005 | P008,House Red Wine | Goldstar | Erdinger,,P038=1.2 | P005=1.0 | P008=1.0,P038=10.5 | P005=34.6 | P008=16.2
SR000136,2026-01-14,messy,False,en,P040 | P008 | P003 | P039 | P025,Rose Wine | Erdinger | Corona | House White Wine | Bacardi Carta Blanca,,P040=1.0 | P008=1.0 | P003=5.0 | P039=2.0 | P025=1.5,P040=8.2 | P008=39.2 | P003=59.2 | P039=16.6 | P025=17.8
SR000137,2026-01-15,messy,False,he,P025 | P033 | P004 | P003,Bacardi Carta Blanca | Aperol | Guinness | Corona,,P025=2.3 | P033=2.5 | P004=3.0 | P003=8.0,P025=15.5 | P033=13.0 | P004=41.6 | P003=51.2
SR000138,2026-01-16,good,False,he,P005 | P041 | P008,Goldstar | Prosecco | Erdinger,,P005=13.0 | P041=3.8 | P008=4.0,P005=25.6 | P041=22.1 | P008=33.2
SR000139,2026-01-17,good,False,en,P038 | P001 | P041 | P008,House Red Wine | Carlsberg | Prosecco | Erdinger,,P038=1.7 | P001=10.0 | P041=3.8 | P008=2.0,P038=14.9 | P001=68.4 | P041=18.3 | P008=31.2
SR000140,2026-01-18,messy,False,en,P002 | P001 | P003 | P025,Heineken | Carlsberg | Corona | Bacardi Carta Blanca,,P002=3.0 | P001=9.0 | P003=2.0 | P025=1.0,P002=56.6 | P001=59.4 | P003=54.2 | P025=9.2
SR000141,2026-01-19,messy,False,en,P005 | P002 | P006 | P001,Goldstar | Heineken | Maccabee | Carlsberg,,P005=4.0 | P002=3.0 | P006=4.0 | P001=7.0,P005=50.6 | P002=53.6 | P006=44.0 | P001=52.4
SR000142,2026-01-20,good,False,en,P025 | P002 | P041,Bacardi Carta Blanca | Heineken | Prosecco,,P025=1.5 | P002=4.0 | P041=1.9,P025=19.0 | P002=49.6 | P041=23.9
SR000143,2026-01-21,good,False,he,P041 | P001 | P002 | P005 | P025,Prosecco | Carlsberg | Heineken | Goldstar | Bacardi Carta Blanca,,P041=2.2 | P001=6.0 | P002=7.0 | P005=4.0 | P025=1.0,P041=21.7 | P001=66.4 | P002=66.6 | P005=63.6 | P025=18.0
SR000144,2026-01-22,good,False,en,P007 | P002 | P040 | P033,Stella Artois | Heineken | Rose Wine | Aperol,,P007=8.0 | P002=10.0 | P040=1.2 | P033=2.7,P007=40.4 | P002=56.6 | P040=13.0 | P033=12.5
SR000145,2026-01-23,messy,False,en,P004 | P001 | P003 | P041 | P013,Guinness | Carlsberg | Corona | Prosecco | Gordon's,,P004=6.0 | P001=8.0 | P003=9.0 | P041=4.0 | P013=1.4,P004=39.6 | P001=43.4 | P003=44.2 | P041=25.2 | P013=15.7
SR000146,2026-01-24,messy,False,en,P041 | P002 | P038 | P003,Prosecco | Heineken | House Red Wine | Corona,,P041=3.9 | P002=11.0 | P038=2.7 | P003=10.0,P041=21.3 | P002=59.6 | P038=17.9 | P003=58.2
SR000147,2026-01-25,ambiguous,True,en,P007 | P005 | P003 | P004,Stella Artois | Goldstar | Corona | Guinness,P003,P007=5.0 | P005=5.0 | P003=6.0 | P004=4.0,P007=45.4 | P005=46.6 | P003=52.2 | P004=31.6
SR000148,2026-01-26,good,False,he,P014 | P006 | P001 | P040,Absolut | Maccabee | Carlsberg | Rose Wine,,P014=0.9 | P006=4.0 | P001=9.0 | P040=0.8,P014=10.0 | P006=41.0 | P001=71.4 | P040=9.4
SR000149,2026-01-27,good,False,en,P006 | P003 | P004 | P001,Maccabee | Corona | Guinness | Carlsberg,,P006=3.0 | P003=5.0 | P004=2.0 | P001=4.0,P006=38.0 | P003=44.2 | P004=26.6 | P001=67.4
SR000150,2026-01-28,good,False,he,P039 | P006 | P001 | P008,House White Wine | Maccabee | Carlsberg | Erdinger,,P039=1.5 | P006=5.0 | P001=11.0 | P008=3.0,P039=15.7 | P006=33.0 | P001=80.4 | P008=31.2
SR000151,2026-01-29,good,False,he,P040 | P041 | P038,Rose Wine | Prosecco | House Red Wine,,P040=1.0 | P041=3.1 | P038=1.2,P040=6.8 | P041=19.9 | P038=24.1
SR000152,2026-01-30,good,False,en,P006 | P003 | P039,Maccabee | Corona | House White Wine,,P006=5.0 | P003=7.0 | P039=2.4,P006=24.0 | P003=46.2 | P039=22.1
SR000153,2026-01-31,messy,False,he,P001 | P020 | P035 | P041,Carlsberg | Jack Daniel's | Cointreau | Prosecco,,P001=18.0 | P020=1.0 | P035=1.0 | P041=5.3,P001=68.4 | P020=13.4 | P035=12.4 | P041=24.3
SR000154,2026-02-01,messy,False,en,P003 | P025 | P008 | P006,Corona | Bacardi Carta Blanca | Erdinger | Maccabee,,P003=5.0 | P025=2.0 | P008=4.0 | P006=4.0,P003=53.2 | P025=18.7 | P008=17.2 | P006=36.0
SR000155,2026-02-02,ambiguous,True,he,P003 | P006 | P004,Corona | Maccabee | Guinness,P004,P003=1.0 | P006=1.0 | P004=1.0,P003=52.2 | P006=35.0 | P004=30.6
SR000156,2026-02-03,good,False,en,P041 | P001 | P007 | P004,Prosecco | Carlsberg | Stella Artois | Guinness,,P041=2.1 | P001=2.0 | P007=5.0 | P004=2.0,P041=19.0 | P001=61.4 | P007=24.4 | P004=28.6
SR000157,2026-02-04,good,False,en,P007 | P005 | P002 | P008,Stella Artois | Goldstar | Heineken | Erdinger,,P007=4.0 | P005=10.0 | P002=10.0 | P008=2.0,P007=20.4 | P005=67.6 | P002=62.6 | P008=36.2
SR000158,2026-02-05,good,False,he,P008 | P041 | P007,Erdinger | Prosecco | Stella Artois,,P008=3.0 | P041=3.3 | P007=4.0,P008=33.2 | P041=12.7 | P007=16.4
SR000159,2026-02-06,good,False,en,P042 | P041 | P005 | P014,Chardonnay | Prosecco | Goldstar | Absolut,,P042=1.0 | P041=5.4 | P005=12.0 | P014=1.8,P042=14.4 | P041=31.2 | P005=49.6 | P014=20.4
SR000160,2026-02-07,good,False,en,P003 | P038 | P007,Corona | House Red Wine | Stella Artois,,P003=16.0 | P038=3.4 | P007=8.0,P003=57.2 | P038=17.3 | P007=75.4
SR000161,2026-02-08,good,False,he,P013 | P038 | P006 | P041,Gordon's | House Red Wine | Maccabee | Prosecco,,P013=0.8 | P038=2.0 | P006=3.0 | P041=2.4,P013=18.2 | P038=15.3 | P006=31.0 | P041=24.5
SR000162,2026-02-09,messy,False,he,P039 | P003 | P002 | P033,House White Wine | Corona | Heineken | Aperol,,P039=1.2 | P003=1.0 | P002=1.0 | P033=0.9,P039=12.9 | P003=51.2 | P002=51.6 | P033=14.8
SR000163,2026-02-10,ambiguous,True,he,P038 | P002 | P025 | P001,House Red Wine | Heineken | Bacardi Carta Blanca | Carlsberg,P038,P038=1.0 | P002=4.0 | P025=1.2 | P001=8.0,P038=26.1 | P002=47.6 | P025=15.2 | P001=45.4
SR000164,2026-02-11,messy,False,he,P002 | P006 | P033 | P001,Heineken | Maccabee | Aperol | Carlsberg,,P002=5.0 | P006=4.0 | P033=1.4 | P001=7.0,P002=66.6 | P006=45.0 | P033=13.1 | P001=86.4
SR000165,2026-02-12,good,False,he,P025 | P006 | P003 | P004,Bacardi Carta Blanca | Maccabee | Corona | Guinness,,P025=2.5 | P006=6.0 | P003=10.0 | P004=4.0,P025=12.5 | P006=39.0 | P003=55.2 | P004=22.6
SR000166,2026-02-13,ambiguous,True,en,P004 | P040 | P025,Guinness | Rose Wine | Bacardi Carta Blanca,P040,P004=5.0 | P040=0.8 | P025=2.7,P004=17.6 | P040=19.6 | P025=21.7
SR000167,2026-02-14,good,False,he,P005 | P033 | P039,Goldstar | Aperol | House White Wine,,P005=9.0 | P033=2.0 | P039=2.2,P005=66.6 | P033=17.8 | P039=14.4
SR000168,2026-02-15,ambiguous,True,en,P008 | P002 | P003,Erdinger | Heineken | Corona,P002,P008=1.0 | P002=3.0 | P003=4.0,P008=34.2 | P002=55.6 | P003=58.2
SR000169,2026-02-16,ambiguous,True,he,P038 | P033 | P002 | P014,House Red Wine | Aperol | Heineken | Absolut,P002,P038=1.5 | P033=1.5 | P002=4.0 | P014=0.9,P038=13.4 | P033=15.9 | P002=51.6 | P014=9.2
SR000170,2026-02-17,good,False,en,P025 | P041 | P002,Bacardi Carta Blanca | Prosecco | Heineken,,P025=0.9 | P041=2.8 | P002=10.0,P025=16.0 | P041=27.7 | P002=41.6
SR000171,2026-02-18,good,False,en,P006 | P038 | P039 | P014,Maccabee | House Red Wine | House White Wine | Absolut,,P006=3.0 | P038=1.0 | P039=1.0 | P014=1.1,P006=39.0 | P038=23.7 | P039=22.2 | P014=19.9
SR000172,2026-02-19,ambiguous,True,he,P038 | P001 | P003 | P004,House Red Wine | Carlsberg | Corona | Guinness,P003,P038=2.2 | P001=9.0 | P003=9.0 | P004=4.0,P038=21.5 | P001=61.4 | P003=57.2 | P004=24.6
SR000173,2026-02-20,good,False,en,P003 | P008 | P039 | P025 | P038,Corona | Erdinger | House White Wine | Bacardi Carta Blanca | House Red Wine,,P003=7.0 | P008=3.0 | P039=2.7 | P025=2.2 | P038=2.2,P003=50.2 | P008=19.2 | P039=16.6 | P025=22.4 | P038=19.3
SR000174,2026-02-21,messy,False,he,P003 | P038 | P031 | P004 | P002,Corona | House Red Wine | Patron Silver | Guinness | Heineken,,P003=7.0 | P038=2.0 | P031=1.5 | P004=6.0 | P002=8.0,P003=67.2 | P038=17.4 | P031=12.8 | P004=39.6 | P002=49.6
SR000175,2026-02-22,good,False,he,P004 | P002 | P006 | P013,Guinness | Heineken | Maccabee | Gordon's,,P004=2.0 | P002=5.0 | P006=3.0 | P013=0.9,P004=37.6 | P002=44.6 | P006=47.0 | P013=12.6
SR000176,2026-02-23,messy,False,he,P041 | P002 | P003,Prosecco | Heineken | Corona,,P041=1.7 | P002=6.0 | P003=5.0,P041=22.9 | P002=38.6 | P003=57.2
SR000177,2026-02-24,good,False,he,P041 | P025 | P007 | P002,Prosecco | Bacardi Carta Blanca | Stella Artois | Heineken,,P041=3.3 | P025=1.5 | P007=4.0 | P002=5.0,P041=31.5 | P025=16.7 | P007=24.4 | P002=33.6
SR000178,2026-02-25,good,False,en,P001 | P004 | P041 | P003,Carlsberg | Guinness | Prosecco | Corona,,P001=7.0 | P004=2.0 | P041=2.0 | P003=6.0,P001=86.4 | P004=31.6 | P041=29.5 | P003=69.2
SR000179,2026-02-26,good,False,en,P033 | P038 | P041,Aperol | House Red Wine | Prosecco,,P033=2.1 | P038=2.0 | P041=3.4,P033=10.4 | P038=22.0 | P041=26.1
SR000180,2026-02-27,good,False,en,K003 | P007 | P005 | P003,Carlsberg 30L | Stella Artois | Goldstar | Corona,,K003=1.0 | P007=7.0 | P005=11.0 | P003=14.0,K003=4.6 | P007=33.4 | P005=51.6 | P003=50.2
SR000181,2026-02-28,good,False,en,P003 | P013 | P005,Corona | Gordon's | Goldstar,,P003=9.0 | P013=1.8 | P005=9.0,P003=65.2 | P013=16.7 | P005=66.6
SR000182,2026-03-01,ambiguous,True,en,P038 | P033 | P040 | P014 | P005,House Red Wine | Aperol | Rose Wine | Absolut | Goldstar,P038,P038=2.4 | P033=1.6 | P040=1.0 | P014=1.5 | P005=10.0,P038=13.5 | P033=15.7 | P040=7.4 | P014=6.6 | P005=56.6
SR000183,2026-03-02,messy,False,he,P006 | P005 | P007 | P002 | P041,Maccabee | Goldstar | Stella Artois | Heineken | Prosecco,,P006=3.0 | P005=9.0 | P007=4.0 | P002=4.0 | P041=1.7,P006=33.0 | P005=47.6 | P007=43.4 | P002=35.6 | P041=13.3
SR000184,2026-03-03,messy,False,en,P004 | P003 | P002 | P001,Guinness | Corona | Heineken | Carlsberg,,P004=3.0 | P003=5.0 | P002=6.0 | P001=7.0,P004=30.6 | P003=48.2 | P002=29.6 | P001=41.4
SR000185,2026-03-04,good,False,en,P002 | P005 | P008,Heineken | Goldstar | Erdinger,,P002=8.0 | P005=6.0 | P008=2.0,P002=69.6 | P005=61.6 | P008=39.2
SR000186,2026-03-05,good,False,he,P038 | P007 | P001 | P005 | P006,House Red Wine | Stella Artois | Carlsberg | Goldstar | Maccabee,,P038=2.2 | P007=7.0 | P001=7.0 | P005=10.0 | P006=6.0,P038=19.6 | P007=30.4 | P001=78.4 | P005=51.6 | P006=43.0
SR000187,2026-03-06,good,False,he,P002 | P007 | P035 | P005 | P025,Heineken | Stella Artois | Cointreau | Goldstar | Bacardi Carta Blanca,,P002=12.0 | P007=8.0 | P035=0.8 | P005=8.0 | P025=2.7,P002=48.6 | P007=22.4 | P035=7.7 | P005=43.6 | P025=20.3
SR000188,2026-03-07,good,False,en,P013 | P039 | P014 | P001,Gordon's | House White Wine | Absolut | Carlsberg,,P013=1.5 | P039=2.7 | P014=1.7 | P001=12.0,P013=19.0 | P039=21.4 | P014=10.8 | P001=73.4
SR000189,2026-03-08,good,False,he,P038 | P007 | P025 | P005,House Red Wine | Stella Artois | Bacardi Carta Blanca | Goldstar,,P038=2.2 | P007=3.0 | P025=2.1 | P005=7.0,P038=12.8 | P007=39.4 | P025=15.3 | P005=50.6
SR000190,2026-03-09,messy,False,he,P041 | P001 | P025 | P003,Prosecco | Carlsberg | Bacardi Carta Blanca | Corona,,P041=2.9 | P001=7.0 | P025=1.6 | P003=7.0,P041=15.0 | P001=57.4 | P025=13.7 | P003=52.2
SR000191,2026-03-10,good,False,he,P001 | P038 | P004 | P007,Carlsberg | House Red Wine | Guinness | Stella Artois,,P001=8.0 | P038=1.2 | P004=2.0 | P007=1.0,P001=49.4 | P038=21.6 | P004=30.6 | P007=34.4
SR000192,2026-03-11,messy,False,en,P003 | P013 | P041,Corona | Gordon's | Prosecco,,P003=7.0 | P013=0.9 | P041=3.2,P003=64.2 | P013=14.4 | P041=9.9
SR000193,2026-03-12,good,False,en,P005 | P003 | P039 | P002,Goldstar | Corona | House White Wine | Heineken,,P005=12.0 | P003=8.0 | P039=2.9 | P002=10.0,P005=39.6 | P003=56.2 | P039=11.4 | P002=60.6
SR000194,2026-03-13,good,False,en,P001 | P002 | P014,Carlsberg | Heineken | Absolut,,P001=22.0 | P002=17.0 | P014=2.5,P001=30.4 | P002=43.6 | P014=14.7
SR000195,2026-03-14,messy,False,en,P025 | P003 | P002 | P004,Bacardi Carta Blanca | Corona | Heineken | Guinness,,P025=3.1 | P003=10.0 | P002=11.0 | P004=5.0,P025=13.3 | P003=58.2 | P002=56.6 | P004=37.6
SR000196,2026-03-15,good,False,en,P003 | P007 | P006,Corona | Stella Artois | Maccabee,,P003=6.0 | P007=4.0 | P006=4.0,P003=52.2 | P007=51.4 | P006=42.0
SR000197,2026-03-16,messy,False,en,P006 | P007 | P038 | P039 | P005,Maccabee | Stella Artois | House Red Wine | House White Wine | Goldstar,,P006=5.0 | P007=3.0 | P038=1.7 | P039=1.7 | P005=6.0,P006=37.0 | P007=48.4 | P038=9.7 | P039=14.1 | P005=51.6
SR000198,2026-03-17,good,False,en,P001 | P002 | P003 | P007,Carlsberg | Heineken | Corona | Stella Artois,,P001=11.0 | P002=5.0 | P003=10.0 | P007=3.0,P001=41.4 | P002=35.6 | P003=38.2 | P007=45.4
SR000199,2026-03-18,messy,False,he,P038 | P005 | P002 | P031 | P008,House Red Wine | Goldstar | Heineken | Patron Silver | Erdinger,,P038=1.7 | P005=5.0 | P002=4.0 | P031=0.8 | P008=2.0,P038=18.0 | P005=65.6 | P002=55.6 | P031=10.1 | P008=24.2
SR000200,2026-03-19,good,False,en,P014 | P025 | P008 | P005 | P039,Absolut | Bacardi Carta Blanca | Erdinger | Goldstar | House White Wine,,P014=1.5 | P025=2.4 | P008=3.0 | P005=11.0 | P039=2.4,P014=8.3 | P025=16.4 | P008=21.2 | P005=54.6 | P039=8.5
SR000201,2026-03-20,messy,False,he,K003 | P002 | P038 | P001,Carlsberg 30L | Heineken | House Red Wine | Carlsberg,,K003=1.2 | P002=16.0 | P038=3.9 | P001=19.0,K003=4.4 | P002=31.6 | P038=23.2 | P001=51.4
SR000202,2026-03-21,messy,False,en,P001 | P007 | K003 | P008,Carlsberg | Stella Artois | Carlsberg 30L | Erdinger,,P001=14.0 | P007=6.0 | K003=1.2 | P008=5.0,P001=61.4 | P007=42.4 | K003=6.2 | P008=35.2
SR000203,2026-03-22,messy,False,en,P033 | P041 | P025,Aperol | Prosecco | Bacardi Carta Blanca,,P033=1.5 | P041=2.3 | P025=1.4,P033=18.4 | P041=15.0 | P025=7.8
SR000204,2026-03-23,good,False,en,P041 | P007 | P001 | P006,Prosecco | Stella Artois | Carlsberg | Maccabee,,P041=1.6 | P007=4.0 | P001=5.0 | P006=1.0,P041=13.4 | P007=35.4 | P001=52.4 | P006=27.0
SR000205,2026-03-24,good,False,he,P041 | P039 | P013 | P008,Prosecco | House White Wine | Gordon's | Erdinger,,P041=2.2 | P039=1.2 | P013=0.9 | P008=2.0,P041=23.2 | P039=22.0 | P013=18.9 | P008=31.2
SR000206,2026-03-25,good,False,he,P005 | P031 | P003,Goldstar | Patron Silver | Corona,,P005=9.0 | P031=1.3 | P003=8.0,P005=51.6 | P031=13.5 | P003=59.2
SR000207,2026-03-26,messy,False,he,P005 | P033 | P002 | P003 | P038,Goldstar | Aperol | Heineken | Corona | House Red Wine,,P005=7.0 | P033=1.8 | P002=5.0 | P003=11.0 | P038=2.0,P005=44.6 | P033=12.5 | P002=47.6 | P003=48.2 | P038=13.2
SR000208,2026-03-27,messy,False,he,P004 | P007 | P002 | P039,Guinness | Stella Artois | Heineken | House White Wine,,P004=5.0 | P007=6.0 | P002=11.0 | P039=2.7,P004=15.6 | P007=39.4 | P002=36.6 | P039=15.9
SR000209,2026-03-28,messy,False,en,P031 | P008 | P001 | P035,Patron Silver | Erdinger | Carlsberg | Cointreau,,P031=2.1 | P008=5.0 | P001=17.0 | P035=1.0,P031=8.7 | P008=18.2 | P001=73.4 | P035=6.3
SR000210,2026-03-29,good,False,he,P004 | P007 | P003,Guinness | Stella Artois | Corona,,P004=2.0 | P007=4.0 | P003=4.0,P004=32.6 | P007=51.4 | P003=51.2
SR000211,2026-03-30,good,False,en,P005 | P041 | P003 | P001,Goldstar | Prosecco | Corona | Carlsberg,,P005=8.0 | P041=2.5 | P003=5.0 | P001=11.0,P005=36.6 | P041=15.5 | P003=46.2 | P001=56.4
SR000212,2026-03-31,good,False,en,P006 | P002 | P038,Maccabee | Heineken | House Red Wine,,P006=3.0 | P002=3.0 | P038=1.0,P006=24.0 | P002=33.6 | P038=15.9
SR000213,2026-04-01,good,False,en,P005 | P006 | P008 | P033,Goldstar | Maccabee | Erdinger | Aperol,,P005=6.0 | P006=2.0 | P008=2.0 | P033=1.9,P005=51.6 | P006=46.0 | P008=36.2 | P033=13.4
SR000214,2026-04-02,messy,False,en,P002 | P008 | P031,Heineken | Erdinger | Patron Silver,,P002=12.0 | P008=4.0 | P031=1.5,P002=39.6 | P008=32.2 | P031=16.6
SR000215,2026-04-03,messy,False,he,P034 | P033 | P041 | P025 | P002,Campari | Aperol | Prosecco | Bacardi Carta Blanca | Heineken,,P034=0.9 | P033=3.2 | P041=5.4 | P025=3.5 | P002=14.0,P034=13.7 | P033=20.2 | P041=14.8 | P025=20.5 | P002=25.6
SR000216,2026-04-04,messy,False,en,P007 | K004 | P002 | P003 | P001,Stella Artois | Malka 30L | Heineken | Corona | Carlsberg,,P007=7.0 | K004=0.9 | P002=9.0 | P003=8.0 | P001=8.0,P007=37.4 | K004=4.7 | P002=64.6 | P003=57.2 | P001=23.4
SR000217,2026-04-05,good,False,he,P002 | P005 | P007 | P006,Heineken | Goldstar | Stella Artois | Maccabee,,P002=9.0 | P005=7.0 | P007=3.0 | P006=6.0,P002=55.6 | P005=63.6 | P007=34.4 | P006=45.0
SR000218,2026-04-06,messy,False,he,P002 | P005 | P033 | P004,Heineken | Goldstar | Aperol | Guinness,,P002=7.0 | P005=7.0 | P033=1.1 | P004=2.0,P002=48.6 | P005=56.6 | P033=15.6 | P004=29.6
SR000219,2026-04-07,good,False,he,P039 | P007 | P041 | P014 | P005,House White Wine | Stella Artois | Prosecco | Absolut | Goldstar,,P039=2.2 | P007=3.0 | P041=2.2 | P014=1.1 | P005=8.0,P039=17.9 | P007=28.4 | P041=28.5 | P014=21.1 | P005=48.6
SR000220,2026-04-08,good,False,en,P001 | P005 | P041 | P007,Carlsberg | Goldstar | Prosecco | Stella Artois,,P001=6.0 | P005=5.0 | P041=2.1 | P007=7.0,P001=73.4 | P005=67.6 | P041=26.5 | P007=45.4
SR000221,2026-04-09,messy,False,he,P025 | P001 | P003 | P038,Bacardi Carta Blanca | Carlsberg | Corona | House Red Wine,,P025=2.6 | P001=14.0 | P003=9.0 | P038=2.0,P025=10.8 | P001=59.4 | P003=53.2 | P038=14.7
SR000222,2026-04-10,messy,False,he,P002 | P034 | P013,Heineken | Campari | Gordon's,,P002=11.0 | P034=0.9 | P013=2.2,P002=39.6 | P034=10.0 | P013=18.1
SR000223,2026-04-11,ambiguous,True,he,P035 | P002 | P008 | P003,Cointreau | Heineken | Erdinger | Corona,P003,P035=1.0 | P002=13.0 | P008=5.0 | P003=11.0,P035=10.7 | P002=50.6 | P008=31.2 | P003=57.2
SR000224,2026-04-12,good,False,he,P008 | P001 | P003,Erdinger | Carlsberg | Corona,,P008=2.0 | P001=8.0 | P003=4.0,P008=29.2 | P001=42.4 | P003=53.2
SR000225,2026-04-13,good,False,en,P039 | P002 | P025,House White Wine | Heineken | Bacardi Carta Blanca,,P039=1.2 | P002=5.0 | P025=1.1,P039=16.8 | P002=40.6 | P025=14.2
SR000226,2026-04-14,messy,False,en,P002 | P007 | P005,Heineken | Stella Artois | Goldstar,,P002=5.0 | P007=3.0 | P005=7.0,P002=35.6 | P007=34.4 | P005=37.6
SR000227,2026-04-15,ambiguous,True,en,P013 | P002 | P006 | P003 | P005,Gordon's | Heineken | Maccabee | Corona | Goldstar,P013,P013=1.5 | P002=7.0 | P006=3.0 | P003=7.0 | P005=5.0,P013=10.8 | P002=52.6 | P006=50.0 | P003=63.2 | P005=56.6
SR000228,2026-04-16,messy,False,he,P002 | P011 | P001,Heineken | Hendrick's | Carlsberg,,P002=13.0 | P011=1.2 | P001=18.0,P002=39.6 | P011=15.6 | P001=57.4
